input	zero_digits	digit_order	cube	period	operation	length	sha256	ngram	ioc
forward	0	forward	standard	63	decrypt	919	54d814490b148a4d2e6e82da88f351ef10f0b2386297ba45f8a8af5703e8af2d	-13.242834619439185	0.03701333029887085
forward	0	forward	standard	63	encrypt	919	ed05d96f716d6510888b49dfa94ab760cd8d983bb79ab61412b149677ea3c389	-13.248070198637434	0.03727884576633216
forward	0	forward	standard	64	decrypt	919	af349952de15e61d5e1c6d2185a78d38b6425ba96dfff72209a1ef75118a67fa	-13.23951090498752	0.03710104523008575
forward	0	forward	standard	64	encrypt	919	5a65a6bff63624188dcf724ef5ea63887202b5e7e42c7bdf54149f01e9d553ca	-13.230131566695023	0.0369825115392548
forward	0	forward	standard	65	decrypt	919	11791b0a0c679f1d50067408d256f3acff2a008b2ec9cbb1b5a6ff7f337a04ae	-13.242876420221387	0.036807081676825004
forward	0	forward	standard	65	encrypt	919	57730311761e4213c9a6758cd9d43f6b011a1630b85e3f2a8b0140e2acc24728	-13.245452409038311	0.037153200054051365
forward	0	forward	standard	66	decrypt	919	eee6bd309261a031a9383d625122908093002820dd8d168e8880c0cf1e63cef1	-13.248070198637434	0.0370322956894038
forward	0	forward	standard	66	encrypt	919	697ac504ba43b3ce05d01080e812a4e5e9d1695c4e60a0e463ba55d26688fe08	-13.245452409038311	0.03721720824710007
forward	0	forward	standard	67	decrypt	919	a5556912d31a5622483f2665058d42c1fe2ff6a8f853945bba5887801bbb096f	-13.240216829840058	0.036996735582154515
forward	0	forward	standard	67	encrypt	919	7643079d4a0c69f8120d9d30c87dcfce9343f948f627bb08f0e89e8ffab5884f	-13.242128694586647	0.0366814359645442
forward	0	forward	standard	68	decrypt	919	81d73be46cf662350093ff48f897cb2ddf0dc2f218bf5548fce54cc04b16d714	-13.248070198637434	0.03674781483140953
forward	0	forward	standard	68	encrypt	919	b6ed6398d23c14cfe43e8f2b99080bf8698911832c0b7d9a7d064432daa1257b	-13.24021682984006	0.0375088011265442
forward	0	forward	standard	69	decrypt	919	57ce44d4011b4373203c8a2549774e27df68702ba542b65a64b0452c8ab514c0	-13.248070198637434	0.03729306980923188
forward	0	forward	standard	69	encrypt	919	bebe02ad9e996a42d543ea35a98d172f65221c1c043fa5c9e1682b0b6ad9724f	-13.242834619439185	0.03735707800228059
forward	0	forward	standard	70	decrypt	919	eb08c0c5e648b0dd7de0cf47243f0766d3c122a24fb869a86aa1afa8495a8ef0	-13.240216829840058	0.03738552608808002
forward	0	forward	standard	70	encrypt	919	76d568e4ca1ccfb48b00a7db1815af00b1d135cf4cd1aad7eccd2abc604ea52f	-13.242834619439185	0.03656764362134649
forward	0	forward	standard	71	decrypt	919	15f668254896d0f53b3a93e0547c4e8f0b035272ef26da51167168ebd18f2ded	-13.245452409038311	0.036975399517804944
forward	0	forward	standard	71	encrypt	919	213616debcd38bf4a9589864ea16413427fa0e535a37a87464bbb343567be563	-13.231657536190147	0.037470870345478295
forward	0	forward	standard	72	decrypt	919	ca0aefddf0dac6e2f52af892ac14007606f76bb5c124944516abb3ec38c381ed	-13.248070198637434	0.03695880480108861
